ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
20,61,88.86,4.97,0,05.05,3.15,3.25,1.195,8,52.0,162.0,128.0,204.0,1,52.0,0,0,45,0.38,0.04,173,0.09,0.05,5,336,100,14,0.4,8,2.3,2,Hayvansal
21,420.74,17.01,53.8,3.69,37.39,5.73,21.51,12.54,89.04,256.01,233.18,67.78,443.82,0,20.96,0.62,2.76,0.05,0.2,0.13,0.17,1.1,2.99,33.96,0.4,151.48,65.94,1.19,0.47,12.33,0.54,Mix
22,48.44,90.75,3.45,0.19,1.18,1.48,3.29,0.76,4.92,265.81,62.54,46.22,2870.1,0.73,12.17,0.29,01.07,0.03,0.2,0.02,0.07,0,0.24,6.33,0.11,34.85,6.24,0.15,0,1.36,0.06,Mix
23,122.53,78.73,3.37,1.72,1.97,8.32,8.47,2.69,28.36,190.4,253.63,11.72,2933.4,1.33,1.25,0.58,3.91,0.19,0.91,0.04,0.08,0,01.02,14.89,0.39,85.13,15.56,1.96,0.08,6.77,0.13,Mix
24,256.87,56.38,10.73,0.84,2.71,12,18.36,5.32,69.19,735.84,123.58,169.6,1086.18,2.8,29.58,0.93,9.26,0.09,0.52,0.1,0.2,1.82,1.12,22.51,0.38,195.98,18.5,1.38,0.07,13.78,3.91,Mix
25,252,39.01,42.71,6,4.34,12.45,3.5,722,0,455.0,254.0,161.0,3.0,0,0.0,2.66,7.8,215,0,394,167,4.438,2.47,42,646,212,75,1.77,227,25.7,2.174,Bitkisel
26,150.26,63.2,29.96,3.28,19.07,2.9,3.23,0.27,0,2.73,220.36,39.32,72.92,0.86,0.0,1.36,2.25,0.06,0,0.06,0.04,0,1.18,17.14,0.18,75.25,28.67,0.59,0.19,0.59,0.67,Bitkisel
27,536,8.26,52.2,5.1,20.3,6.3,32.4,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
28,451,11.87,54.66,6.22,30.93,4.1,22.63,0,0,105.0,158.0,28.0,2.9,0,0.0,1.13,0,96,0.2,0.04,0.04,0.1,0.92,0.2,0.1,97,24,0.73,0.5,5.1,1.1,Bitkisel
29,132,63.5,29.63,5.5,0,4.39,0.1,26,0,16.0,650.0,46.0,0.0,15.3,0.0,0,0,492,0,7.100.000,75,2.22,5.94,17,594,82,37,0.51,882,0.5,0.98,Bitkisel
30,68.8,86.19,2.75,0.34,0.84,7.96,2.73,0.83,24.21,125.59,118.14,15.81,1823.22,8.5,1.71,0.42,1.33,0.09,0.06,0.01,0.05,1.84,0.5,05.07,0.22,49.89,9.55,0.59,0.04,6.2,0.03,Mix
31,53,85.17,13.34,1.8,10.58,81.000.000,0.31,39,0,2.0,166.0,37.0,681.0,26.7,0.0,0.2,0,78,0,58,36,376,0.15,16,216,20,12,7.000.000,42,0.1,39,Bitkisel
32,307.11,26.56,60.08,2.38,02.05,8.77,3.1,0.58,0,1.8,353.28,30.17,0.0,0,0.0,0.67,0.09,0.34,0,0.34,0.1,0,2.89,35.25,0.77,416.39,118.03,3.41,0.45,73.28,2.47,Bitkisel
33,119,754.599.999,0,0,0,21.39,03.08,0.79,70,77.0,229.0,12.0,52.0,2.3,5.0,0.21,1.8,0.43,0.37,73,142,823.900.000,0.89,7,1.058,173,25,1.54,53,15.7,19,Hayvansal
34,310,44.56,32,0.5,27,3.5,19,11.6,44,90.0,199.0,118.0,421.0,0.6,8.0,0.3,0.3,48,0.39,41,0.24,116,0.72,5,581,105,14,68.999.999,23,1.8,8,Hayvansal
35,430,16.16,55.6,2.3,33.1,6,21.4,11.4,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
